delay_time,d_out
7.090,3.895e-10
7.091,3.906e-10
7.092,3.914e-10
7.093,3.924e-10
7.094,3.930e-10
7.095,3.940e-10
7.096,3.952e-10
7.097,3.960e-10
7.098,3.970e-10
7.099,3.980e-10
7.100,3.987e-10
